lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00326443
# Diagonal elements of inverse mass matrix:
# 1.09543e-05, 1.08571e-05, 1.08561e-05, 1.09617e-05, 1.09387e-05, 1.08919e-05, 1.07597e-05, 1.09618e-05, 1.1088e-05, 1.09197e-05, 9.90113e-06
504.477,0.97512,0.00326443,9,511,0,-502.457,2.49999,2.50146,2.49937,2.50055,2.49897,2.50049,2.50197,2.49827,2.49919,2.50073,0.000124193,19.6829,20.8112,22.7302,24.0769,25.0539,25.7837,25.3266,26.3409,30.6405,29.4699,33,21,27,32,17,31,21,29,33,29
507.039,0.998344,0.00326443,8,255,0,-500.885,2.49848,2.49927,2.50059,2.50014,2.49956,2.49891,2.49982,2.50181,2.50031,2.49942,0.000118232,19.2058,20.2401,22.086,23.2935,24.2148,24.8337,24.402,25.4717,29.3451,28.2107,20,25,23,24,19,20,30,23,27,22
507.23,0.965378,0.00326443,9,511,0,-501.265,2.49932,2.50056,2.50044,2.49903,2.4979,2.49914,2.50071,2.50091,2.5005,2.49963,0.000109778,18.6044,19.5429,21.1639,22.214,23.0152,23.6045,23.2401,24.1447,27.5631,26.5711,16,13,21,28,19,25,23,30,31,25
505.236,0.985476,0.00326443,8,255,0,-502.352,2.50128,2.49992,2.49988,2.50101,2.50221,2.50128,2.50129,2.49934,2.49884,2.49982,0.000113074,18.8796,19.809,21.5054,22.6637,23.5616,24.1299,23.7082,24.6062,28.1997,27.2059,18,16,23,27,24,29,35,20,36,32
502.079,0.870666,0.00326443,8,511,0,-494.014,2.49844,2.49871,2.49989,2.50135,2.49737,2.49987,2.5012,2.49975,2.49838,2.49979,0.000124096,19.645,20.7454,22.7307,24.0835,24.9998,25.7529,25.2926,26.3641,30.5936,29.4219,21,21,30,21,23,20,18,17,26,29
506.704,0.955915,0.00326443,8,255,0,-499.061,2.49906,2.49953,2.50011,2.5017,2.49886,2.50079,2.50087,2.49965,2.49877,2.50056,9.59531e-05,17.6323,18.396,19.7364,20.648,21.258,21.7513,21.4299,22.1262,24.8284,24.1069,17,20,17,17,12,17,22,20,28,25
507.324,0.991364,0.00326443,8,255,0,-500.52,2.49826,2.50112,2.4994,2.50102,2.49976,2.50009,2.49858,2.50071,2.50003,2.5001,0.000101912,18.0284,18.9034,20.3221,21.3189,22.027,22.5317,22.1429,22.9866,25.9855,25.1381,24,23,20,28,20,23,17,23,21,26
508.969,0.995361,0.00326443,8,255,0,-503.712,2.49907,2.5008,2.49928,2.5009,2.49982,2.49961,2.49926,2.50034,2.50099,2.50043,0.000101014,17.9805,18.8245,20.2282,21.2118,21.9137,22.3992,22.0412,22.8499,25.8375,24.9866,20,21,27,24,22,19,22,23,29,23
507.858,0.796359,0.00326443,8,511,0,-498.974,2.49961,2.49917,2.49857,2.49878,2.49946,2.49977,2.50004,2.49959,2.49977,2.50117,0.000120054,19.3633,20.3973,22.2442,23.4951,24.4702,25.13,24.6702,25.7051,29.7295,28.6284,22,21,20,30,16,20,26,37,18,31
508.542,0.999747,0.00326443,8,255,0,-504.081,2.49994,2.50003,2.49944,2.50091,2.49878,2.50008,2.49828,2.50046,2.50046,2.49966,0.000110099,18.639,19.5593,21.1768,22.2949,23.0783,23.6723,23.2273,24.1818,27.6278,26.6323,15,19,30,28,18,18,19,22,26,28
504.45,0.992581,0.00326443,8,255,0,-501.344,2.50032,2.49863,2.5011,2.49805,2.50139,2.50011,2.50201,2.49997,2.50096,2.50058,0.000104982,18.2811,19.1069,20.6733,21.6165,22.4604,22.9532,22.6234,23.4125,26.6101,25.7049,17,15,25,20,21,18,24,23,28,25
